,GDP,Exports,Manufacturing,CPI
1996-07-01,917760675993.724,361455141590.351,-0.590750738405125,9.07843137251739
1996-10-01,908462603642.316,362368524887.456,0.197451435721808,8.570982770557166
1997-01-01,942204664942.709,373417767669.296,2.28849559314695,9.198928637825572
1997-04-01,915694437693.411,406519905904.666,2.77174323074188,10.633984248157267
1997-07-01,901406204918.605,404048463936.009,1.76288314783125,7.72764634556097
1997-10-01,999435567298.548,432153010363.806,1.61484657173974,5.070434420449886
1998-01-01,1189217605900.88,421502294360.2381,-0.300135094202604,5.5493679790986095
1998-04-01,1321183957722.75,456150619008.43896,1.48725429268401,9.039750373059066
1998-07-01,1224519092333.5798,511386614687.836,1.21464589903216,10.36594007626562
1998-10-01,1175260750966.69,479748999028.191,0.823478827644496,15.396580769392967
1999-01-01,1119803694698.85,519949414499.3751,1.85039343499218,17.874949593029935
1999-04-01,1142766229772.14,517146799353.25793,2.54429445901717,8.98703729216952
1999-07-01,1233368829959.45,575533658064.2699,1.37216581438382,7.110110513638946
1999-10-01,1331222757012.01,587490199625.733,1.32805533278815,2.8178579774602497
2000-01-01,1471921889574.8298,613609526128.435,1.16944564069435,0.46332933165830337
2000-04-01,1263758127225.37,636182240892.718,2.65790533996424,3.6881411082556834
2000-07-01,1342255689823.11,689869741127.261,0.476314022798863,5.264065695686263
2000-10-01,1410129668706.98,745504287460.006,1.28498820930268,4.146648004592756
2001-01-01,1397205932922.95,730259313477.011,0.382792433312416,2.988666624384813
2001-04-01,1409876262122.98,746420414375.9401,0.744810916839394,2.9353592955678667
2001-07-01,1410207639963.59,709223577305.0399,-0.207029846523202,2.7255900603915433
2001-10-01,1356095587872.38,724754544462.642,1.7226059600828,4.6555157130502165
2002-01-01,1387927353385.69,748650040419.7,1.2728147152117,4.75915513221758
2002-04-01,1423384782331.63,871241942115.568,1.50871689063304,5.101411046591217
2002-07-01,1507671710733.07,896363656978.659,1.87817485897631,4.500456174858917
2002-10-01,1579834108730.7998,904975970471.714,1.14654321755358,4.017141732607056
2003-01-01,1737238583023.5,909233714711.589,2.3403767425344,3.6199394060371435
2003-04-01,1676732887889.81,927456017004.177,0.688913124836341,3.7828714003331836
2003-07-01,1698857231954.48,995581030147.326,2.88705459455302,4.730017481312267
2003-10-01,1774235944287.6,1094726381483.25,1.79875346706868,3.3812585499733436
2004-01-01,1961600873934.8496,1187312194933.89,1.32075120609163,3.3573046238513466
2004-04-01,1804265786218.38,1278071028643.99,5.2749366303879,3.9902724151452933
2004-07-01,2223830479622.2803,1331153833414.2002,4.02073796617745,2.6944513571612934
2004-10-01,2521262442541.06,1475768996828.5598,2.91936190521381,4.2041501499593
2005-01-01,2552482331446.2,1655370552598.6,2.12158896027778,4.174697278977243
2005-04-01,2865188236598.18,1629273902393.46,2.19886757083965,4.232804232877373
2005-07-01,2856809345598.89,1665051593987.65,1.94402951530341,4.00692914687214
2005-10-01,3097238007456.4897,1875751028386.76,3.86287594137728,3.7143528675450934
2006-01-01,3248681334810.08,2013179233822.05,5.55088811457657,5.027353882979397
2006-04-01,3549788908451.41,2164555058382.76,0.19647527793689,4.50516023896951
2006-07-01,3757474842944.69,2342479692673.3003,4.46773838889265,5.9491257575303536
2006-10-01,3650173215068.72,2222297673434.13,5.57188960727887,6.223073892326987
2007-01-01,3702733756041.73,2398663178275.75,5.20729743827003,6.46560701842573
2007-04-01,3616734126757.05,2383807302402.13,5.78437996615101,7.00280112044819
2007-07-01,3802407109555.52,2466011291905.25,0.655704478528198,6.323097941723226
2007-10-01,4085762820993.21,2655903961297.74,4.35492968193303,6.703225806451616
2008-01-01,4649564415490.899,2772613624127.97,3.5511632400463,5.51181102362206
2008-04-01,4848054996906.97,3487212662353.96,1.19718047111181,6.28485892388452
2008-07-01,5568722522427.21,3661437485295.421,-0.968384201592528,7.75224855893459
2008-10-01,5095447354053.65,3275979610494.0303,-2.85371831298594,9.043441938178773
2009-01-01,4311499319938.01,2979433001130.04,-4.14243326350037,10.199004975124337
2009-04-01,4427297394066.03,3093099322295.3296,4.25291571443392,9.36886263465046
2009-07-01,4651963261333.159,3185461860532.19,5.09228677408691,8.871486661602413
2009-10-01,5100374542222.02,3322645623669.57,0.948282711978838,11.752028478528233
2010-01-01,5220628051006.46,3500378974652.4497,4.29647108549627,13.3219954648526
2010-04-01,5496289462498.31,3859736192008.99,-0.365702551244651,15.315315315315333
2010-07-01,5488948469593.06,3994752383662.77,2.57025975336474,13.6553694325412
2010-10-01,5584212981433.09,4528475575886.74,2.40483490676938,10.314164710040647
2011-01-01,5858937828703.689,4868795416514.22,3.90299686942333,9.16591955053494
2011-04-01,6438062866000.0,5070229027469.85,-1.28160059635438,8.98312813497492
2011-07-01,6406335732000.0,5163345906033.57,-1.57670720887808,8.91779486453764
2011-10-01,7139205627000.0,5572098103297.79,0.269258320503893,9.15719875295545
2012-01-01,7171935775000.0,5633636964198.79,1.93157527300503,8.406470340171998
2012-04-01,6777195853000.0,5678642400918.46,-2.86372714957073,7.1784550507954705
2012-07-01,7454137412000.0,7071585736311.39,-0.0465414948961636,10.142797207945833
2012-10-01,7360316048000.0,5652234455233.67,0.455085766734666,9.763631257857059
2013-01-01,7199142082000.0,5994607407536.49,0.95095922237196,10.103736993260753
2013-04-01,6573633764000.0,6289273649930.811,0.94973353990808,11.7064163977837
2013-07-01,6845524919000.0,7587920803041.77,2.49045380976267,10.6604021324007
2013-10-01,6325406644000.0,7269679891517.989,-1.3963304359231,10.764798191260033
2014-01-01,6700985507000.0,7420938657509.431,2.07705987930589,10.553405944560836
2014-04-01,6632048895000.0,7208529722684.29,1.62758915303551,6.887568325018864
2014-07-01,6816714257000.0,7341718508569.72,1.43980292293004,6.8635654569515765
2014-10-01,6806461549000.0,7301215642722.78,-1.52917473522334,6.76253947130517
2015-01-01,6420727909000.0,6784898909023.21,1.25162678748072,4.984073345085257
2015-04-01,6249020403000.0,6835726096170.689,0.352405323072987,6.583889138869707
2015-07-01,6569329698000.0,6924152150750.23,1.23459365401809,5.8734632868615675
2015-10-01,6143295465000.0,6749967941269.33,0.573408079642893,4.6170817909948365
2016-01-01,6153752164000.0,6776628032809.74,1.60114987830088,6.455862977602113
2016-04-01,6274528539000.0,7172339936684.85,3.48643250463346,5.650306557530112
2016-07-01,6562413994000.0,7267173033547.3,-0.184134917508808,6.19293016201847
2016-10-01,6795570113000.0,7405235745377.391,-2.28718917061675,5.300748991963714
2017-01-01,6583415166000.0,7642972349390.45,2.32821310253758,2.7229335903437466
2017-04-01,7638283949000.0,7715608251298.36,2.80024227141339,2.36413306814299
2017-07-01,7256042118000.0,7914600561616.61,-0.36398287616587,1.4626545740350734
2017-10-01,7753297864000.0,8130470145663.13,1.11764554922136,2.39726217994146
2018-01-01,8135114147000.0,8354526755421.9,3.84453342708707,3.736176401838817
2018-04-01,8040002749000.0,8855614154156.61,1.87241961476261,4.739216987392167
2018-07-01,8569146772000.0,9335056763550.793,-1.58066811025383,3.95217503150652
2018-10-01,8692028103000.001,9771248966500.74,-1.770247287617,5.61403508771929
2019-01-01,8197428086000.0,9701015448791.86,3.05317817584085,5.110782397367777
2019-04-01,8779014445999.999,9449571535674.3,4.35436637407183,7.077122854561876
2019-07-01,8379494006000.001,9359828318693.84,-6.3416207252716,8.524972552190476
2019-10-01,8075965469000.0,9583255757126.91,-2.49338008480017,6.42303433001108
2020-01-01,7983093134000.0,9129222633504.951,-2.59811083352174,8.61990568597683
2020-04-01,5176507144000.0,7597429937345.569,-32.2019998092454,6.611288559993533
2020-07-01,6896546048000.0,9395474399509.44,44.8280218854315,5.202516829744103
2020-10-01,7664911821000.0,9591032658556.2,5.80481569155055,5.530242670124623
2021-01-01,8937066491000.0,10508432062588.8,3.76143428348874,4.95786176844399
2021-04-01,7494006035000.0,11349854837527.0,-2.50472710509888,4.441038966471823
2021-07-01,8730142201000.001,12327838106244.3,0.965148440334586,5.3251155165086095
2021-10-01,9171877922000.0,13081789281096.6,-0.927346456770133,4.826123223235453
2022-01-01,9537234143000.0,13736964505132.1,3.66351847031915,4.97058282594347
2022-04-01,10015712900000.0,15354034141479.9,9.30609669089051,5.4102502756870665
2022-07-01,10744954280000.0,15336883229337.2,-9.79212177679238,6.485309743802667
2022-10-01,10149976120000.0,15429000224894.5,-0.679994145596941,6.041219186374167
2023-01-01,10003106330000.0,15953171814288.5,5.95342176604235,5.665655295727387
